F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
15.465,-4.05,10731.21,1.3712,-19.65,-5471.3582,5.0878,-5.109,-6.13,0,-2257.46,14.817,-3431.09,-5.2467,-2318.7,0,13.006,3558.02,2.04,12168.51,16.81,True
17.184,-3.57575,10042.71,2.454,-47.58,-5484.322,4.7069,-3.9771,-6.886,1,-2123.42,9.195,-3837.89,-5.1558,-1987.32,0,9.2444,422,0.04,13547.91,13.44,False
14.5074,-4.1032,8909.31,0.958,-33.76,-5513.52,6.734,-10.737,-4.9288,1,-2212.96,21.7,-3444.39,-3.82116,-2327.01,1,9.628,3456.6,2.04,12490.23,14.42,False
16.809,-3.8484,10614.63,0.7588,-24.964,-5480.348,4.5522,-2.9877,-6.778,1,-2496.06,1.32,-3526.29,-4.7499,-2156.49,1,12.558,3531.6,2.04,11730.21,,False
12.6186,-3.6301,10285.05,3.658,-48.32,-5360.98,4.5243,-1.9464,-6.633,0,-1947.85,-3.635,-4864.59,-4.1625,-2258.61,0,9.3882,4040.4,2.04,13475.91,,False
12.5529,-4.2343,10430.04,0.566,-19.112,-5101.46,4.9971,-5.964,-5.1616,0,-2498.16,5.88854,-2367.59,-16.23,-2326.83,1,12.794,3547,2.04,12722.46,,False
12.26691,-3.8682,10193.91,5.108,-15.814,-5429.98,6.065,-2.4789,-6.493,0,-1991.76,10.137,-4436.49,-5.9943,-2077.62,0,9.5914,4265,2.04,12522.777,14.59,False
13.6533,-4.0934,11366.61,2.738,-40.06,-5478.858,8.706,-5.565,-5.1708,0,-2073.49,5.6748,-3807.7,-5.9952,-2430.429,1,10.5484,3088.4,0.04,12513.555,,False
12.7203,-4.812,11543.61,0.5206,-18.258,-5405.36,4.9635,-2.9013,-4.7236,0,-2276.96,-0.797,-4479.59,-4.05306,-2315.28,1,10.906,3358.6,0.04,12132.21,15.24,False
15.687,-4.5098,10570.509,4.114,-35.24,-5435.76,4.7565,-8.442,-5.644,1,-2049.81,2.795,-3468.89,-3.83694,-2369.91,0,10.0528,3506.6,0.04,12064.71,,True
17.793,-3.7436,774.81,2.464,-127.28,-5415.1,4.7645,-3.1854,-4.62299,0,-1982.69,2.661,-3821.25,-11.571,-2336.7,1,11.686,3468,2.04,14307.81,14.53,True
19.071,-3.7149,9577.71,0.4286,-22.756,-5404.98,5.592,-1.7988,-5.1553,1,-1478.26,5.5221,-3758.09,-7.686,-1871.22,0,10.6242,3697.74,0.04,12733.38,13.41,False
12.8346,-5.02,10143.51,6.854,-21.464,-5466.978,4.3752,-3.4332,-6.11,1,-2064.24,4.771,-2593.59,-3.85818,-2049.72,0,12.548,3533.6,0.04,19915.41,15.02,True
14.0664,-5.279,10690.08,0.833,-31.506,-5463.202,6.128,-2.412,-6.583,1,-1694.46,-0.684,-3223.99,-4.593,-2822.22,1,9.485,3216.4,0.04,12802.5,,True
13.5735,-3.558,9741.21,2.28,-50.46,-5320.48,5.0304,-6.843,-5.1826,1,-2154.06,-0.782,-3382.89,-4.00053,-2281.65,1,12.886,3493.8,0.04,13134.51,,True
13.4643,-4.0023,10112.01,1.5126,-15.38,-5747.86,5.184,-3.1548,-6.419,0,-2135.46,4.602,-3271.39,-3.96921,-1925.22,1,10.325,3638.8,2.04,12552.318,15.38,False
16.464,-4.3345,6867.81,0.35872,-38.6,-5565.16,6.576,-5.901,-4.8047,1,-4136.76,-1.04,-3918.39,-5.9628,-2141.58,1,11.182,3213.4,2.04,12537.601,,False
16.071,-4.3772,10824.3,1.118,-17.572,-5407.72,6.757,-5.028,-4.893,1,-2221.36,-2.984,-3500.99,-4.2828,-2316.81,0,9.447,2499.6,2.04,12451.56,14.44,False
14.5707,-3.56716,14628.81,0.8724,-32.5,-5496.66,7.119,-5.403,-4.781,1,-1550.96,6.1645,-3103.59,-4.5201,-2677.32,0,9.19544,1224,0.04,12821.28,14.17,True
12.4773,-4.1734,9683.31,1.949,-12.7736,-5575.98,4.4628,-3.8412,-5.4008,0,-1909.26,8.576,-4227.99,-3.7800031,-2329.65,1,9.4512,3312.8,2.04,16894.41,,True
17.418,-3.9402,10231.11,1.2906,-15.924,-4197.26,5.217,-3.3723,-4.7677,0,-1683.36,4.882,-3663.79,-4.02357,-2509.8,0,9.703,5015.2,2.04,12062.61,,False
12.5328,-5.226,8835.51,5.718,-23.864,-5347.18,4.4165,-2.55,-4.9359,1,-2089.35,5.308,-1388.59,-5.3217,-1575.12,1,15.178,3684.9,2.04,11228.91,,False
13.7517,-4.826,10712.25,2.75,-32.028,-5518.72,4.5483,-5.058,-4.9523,0,-2221.86,9.058,-3123.49,-11.274,-2265.66,1,10.6758,2616.8,2.04,15249.51,,True
12.783,-4.3863,10290.12,1.9702,-15.248,-5453.28,4.949,-1.7424,-7.138,0,-1969.35,2.309,-2949.39,-3.88245,-1288.02,1,11.232,3920.14,0.04,12452.19,16.67,True
14.0634,-4.1067,6585.81,2.0896,-61.36,-5439.52,4.7698,-9.429,-4.66696,1,-2064.19,0.135,-3602.69,-4.5459,-2353.11,1,10.7574,3496.4,2.04,12789,14.66,False
14.0889,-3.8891,10433.97,5.79,-23.086,-5483.936,4.505,-2.1693,-4.9469,0,-1983.16,6.4918,-3494.39,-3.7819473,-2779.02,0,13.69,3690.88,0.04,15799.41,15.02,True
15.783,-3.7753,10571.022,4.834,-15.72,-5208.26,5.5,-4.974,-6.154,1,-2015.67,1.558,-3799.85,-13.2,-2422.602,0,9.6108,2683,0.04,12724.5,13.06,False
12.5091,-3.8947,10266.78,0.9912,-36.48,-5519.98,4.6516,-5.97,-5.3009,0,-2019.696,8.186,-4317.59,-4.3605,-2340.78,1,9.3588,3154.6,2.04,11667.51,,False
12.2925,-5.134,10670.28,2.986,-30.556,-5408.12,5.708,-1.9323,-6.29,1,-2017.34,-1.18,-5635.59,-3.94866,-2424.279,1,10.949,3524.4,2.04,12285.12,,False
12.8415,-3.7786,10509.09,0.3198,-32.84,-5442.02,4.5667,-7.929,-5.3415,0,-4607.76,-8.03,-2742.79,-4.00488,-2336.52,1,9.20376,-5724,0.04,15352.71,14.36,True
14.196,-4.3503,10467.24,0.7606,-97.34,-5457.134,4.4471,-3.8163,-6.708,1,-2234.66,6.8846,-3607.19,-4.4367,-2310.21,1,9.12674,-6352,2.04,17026.41,14.76,True
19.011,-3.7636,10665.63,5.988,-21.584,-5692.66,4.37833,-2.9679,-6.543,1,-1986.43,2.183,-3674.97,-3.7820625,-2728.92,0,9.7364,2948.6,0.04,23569.41,,True
12.4266,-3.9579,14079.81,0.34782,-27.888,-5460.32,5.2522,-2.7513,-4.7098,0,-623.76,8.262,-1243.59,-8.358,-2895.42,1,10.7566,3525.2,2.04,13197.51,,True
14.1939,-4.128,11609.01,2.244,-56.92,-5493.68,5.437,-4.848,-4.9544,1,-2165.06,1.664,-3274.29,-9.942,-2394.513,0,9.5296,788,0.04,12992.61,14,True
12.5361,-4.5018,1035.81,2.087,-20.514,-5383.74,6.127,-9.336,-4.62491,1,-2027.317,0.27,-1998.59,-5.7225,-2349.3,1,12.062,3740.918,2.04,12618.75,,False
12.7473,-3.61544,10475.04,0.715,-55.46,-5399.4,6.097,-1.6602,-6.156,1,-2798.26,5.87481,-2923.99,-4.7712,-852.42,1,10.8676,2818.6,2.04,12894.21,15.49,True
12.24744,-4.604,10853.73,2.668,-23.648,-5329.22,4.6655,-5.298,-5.666,0,-1923.16,11.289,1362.41,-4.7733,-2509.83,1,10.6586,3961.6,0.04,12357.6,14.67,True
15.348,-4.3038,9953.91,1.1154,-24.988,-5401.78,5.2268,-6.393,-5.3283,1,-1830.46,-2.602,-3823.05,-4.4931,-2370.24,1,9.13378,4608.6,0.04,12559.659,,True
18.813,-4.1836,954.81,0.4314,-13.9846,-5508.3,6.402,-6.654,-4.63196,1,-1383.06,4.415,-3751.81,-4.7487,-2365.29,0,13.438,3729.392,0.04,12709.92,,False
13.071,-3.9071,10685.73,0.6908,-21.216,-5455.564,5.681,-3.321,-5.597,1,-2379.36,6.965,-2980.59,-6.096,-2351.91,0,13.976,3503.8,0.04,12941.01,,True
12.5379,-4.088,10495.08,1.1688,-24.008,-5538.28,5.2501,-11.487,-5.59,1,-2392.26,5.2457,-2325.59,-4.4682,-2352.9,0,9.4842,1076,0.04,12777.72,,True
16.104,-5.06,11065.41,0.35232,-34.4,-5368.44,4.6625,-2.0526,-5.2694,1,-458.76,5.4306,-3540.19,-4.6953,-3308.82,1,9.976,3350,2.04,14526.51,,True
17.193,-4.1064,10354.62,3.452,-13.1422,-5421.28,4.7883,-9.294,-8.672,1,-2083.07,-0.289,-3890.29,-11.244,-2284.35,0,9.2922,2344.2,2.04,11892.51,,False
12.5448,-3.822,9035.61,0.8776,-13.5924,-5317.12,5.0084,-5.304,-4.708,0,-1536.06,14.957,-3987.59,-6.5259,-2435.202,0,12.116,3945.68,2.04,12126.51,,False
15.966,-4.4838,9594.51,1.9156,-25.404,-5479.564,4.6658,-8.889,-5.423,0,-2216.06,10.655,-3857.29,-6.5052,-2275.2,1,10.1004,2675.4,0.04,13499.91,,False
16.917,-4.4542,10194.21,2.962,-12.8846,-5443.2,5.2205,-1.6527,-7.415,0,-2017.49,8.971,-3875.29,-4.176,-319.02,1,9.9614,3580.56,2.04,12744.66,,False
13.4616,-4.581,10235.91,0.6158,-13.44,-5576.04,4.7815,-1.7238,-6.517,0,-1551.66,1.683,-3254.59,-8.118,-1866.42,0,10.0276,4054,2.04,13219.11,13.91,True
13.6182,-5.735,10564.452,3.492,-46.38,-5241.86,5.1014,-2.7495,-6.515,1,-2091.7,0.572,-3174.49,-8.808,-2206.35,1,9.9196,2670,2.04,12929.61,15.8,True
13.2369,-4.2068,9419.01,0.3085,-34.68,-5482.454,4.36675,-7.296,-5.3727,1,-513.76,5.5684,-3941.59,-5.9052,-2329.38,1,9.7228,4343.4,2.04,13972.11,12.37,False
18.249,-4.116,11016.51,0.3758,-28.426,-5384.6,4.6729,-5.646,-4.8002,1,-3160.76,-1.55,-3606.89,-8.133,-2381.166,1,14.354,3445,0.04,15007.41,14.38,False
23.556,-4.585,10099.11,1.5952,-13.2574,-5498.04,4.6984,-3.6138,-6.362,1,-1954.38,-3.463,-3758.61,-6.3867,-2168.85,1,10.5388,3819.24,2.04,12650.37,14.96,False
13.1904,-4.4581,10863.51,0.9246,-19.794,-5487.228,4.7434,-7.617,-6.42,0,-2147.56,-4.28,-3059.19,-5.514,-2436.54,1,10.493,3201.6,0.04,12515.115,16.59,True
12.657,-3.6667,10564.527,0.545,-36.5,-5464.478,4.36245,-5.85,-5.874,0,-1478.46,9.847,-3117.89,-3.86301,-2415.837,0,12.188,3896.02,2.04,3628.41,,True
12.3462,-4.4755,10548.678,2.77,-29.528,-5419.5,4.8858,-12.723,-4.975,0,-1981.72,7.095,-3167.79,-6.4182,-2423.109,0,9.9238,3102.6,2.04,13445.91,15.55,False
13.4811,-5.996,10231.41,1.4012,-36.42,-5467.106,4.638,-1.55727,-6.158,1,-2164.86,14.231,-3241.29,-4.4796,369.18,1,9.9146,3465.6,2.04,12149.01,,False
22.893,-4.186,10550.199,1.9824,-33.74,-5398.86,4.8032,-1.5921,-6.095,0,-1993.7,7.38,-3741.08,-3.95973,-2685.3,0,12.052,3504.8,2.04,13427.91,,False
19.44,-4.391,10611.6,2.352,-44.1,-5533.7,4.9001,-2.6754,-5.927,1,-2089.15,9.499,-3749.22,-4.8231,-2375.25,0,9.3168,-934,2.04,13605.81,15.58,True
14.2863,-3.7588,9737.31,1.008,-21.972,-5203.86,7.165,-11.079,-5.3939,1,-1760.66,13.905,-3877.59,-3.787395,-2390.046,1,10.9504,3690.06,2.04,12724.71,16.85,True
13.1466,-7.071,11039.31,0.7226,-18.33,-5474.036,4.4725,-3.2085,-5.588,0,-2287.06,14.009,-3826.61,-4.1889,-2435.832,1,9.4848,1498,2.04,11734.11,13.41,False
15.546,-3.6803,8529.51,0.5636,-15.768,-5462.132,4.40758,-4.602,-4.8735,1,-1592.06,5.5314,-3740.92,-6.6978,-2343.72,1,10.4118,3646.3,0.04,17614.41,,True
17.046,-3.6587,13007.91,0.4166,-48,-5415.16,4.9053,-5.292,-4.8146,0,-2617.76,6.4018,-3549.59,-7.323,-2427.621,1,10.23,3110.2,2.04,12184.11,,False
14.6088,-3.54562,12385.41,0.3694,-23.09,-5512.96,5.816,-5.409,-4.7666,1,-4365.76,2.705,-3995.29,-4.1889,-2312.82,1,15.828,3441.8,2.04,12597.54,13.95,True
13.5441,-3.7702,7299.81,4.264,-86.02,-5441.56,4.7131,-1.7865,-4.63901,1,-1990.94,10.926,-3140.79,-4.1865,-2390.913,0,9.5838,3657.32,0.04,13453.41,13.94,True
16.857,-5.112,10274.55,4.314,-15.726,-6305.26,5.0202,-2.3565,-7.456,0,-1985.56,7.477,-3582.29,-4.6152,-1918.02,1,10.2714,4276.6,2.04,12431.49,,False
17.493,-4.1066,8638.71,0.8614,-33.66,-5699.86,4.8695,-1.9602,-5.0613,1,-2222.66,4.116,-3793.94,-5.2212,-1130.22,0,10.56,3331.8,0.04,13217.91,14.69,False
13.7328,-4.4752,9164.01,1.388,-21.878,-5419.12,5.926,-3.8568,-4.8975,1,-1884.16,13.344,-3188.99,-5.2557,-2354.61,1,11.23,3791.16,2.04,12803.16,,True
16.659,-5.02,13152.51,0.7332,-24.192,-5509.48,5.0247,-4.545,-4.717,0,-1737.66,9.593,-3492.19,-4.1766,-2542.71,1,9.979,3426.2,2.04,13001.31,15.12,True
12.9492,-4.503,10769.31,1.2926,-38.84,-5405.82,5.2766,-5.769,-5.5022,1,-2289.56,5.7171,-2677.59,-4.7703,-2320.32,1,9.2488,90,0.04,12341.07,13.85,False
12.3705,-3.9521,10291.86,2.0354,-28.246,-5577.08,5.0595,-5.943,-6.793,0,-2250.56,7.839,-1677.59,-4.9578,-2199.39,0,15.436,3567.6,0.04,13057.41,,True
13.9263,-4.102,10687.26,5.658,-19.82,-12903.46,4.8421,-1.47801,-7.739,1,-2043.38,2.428,-3257.09,-9.378,-2386.578,0,10.6232,3498.2,2.04,11920.71,14.95,False
19.338,-4.2034,6357.81,4.992,-32.124,-5461.538,6.637,-7.26,-4.7007,0,-1976.42,4.9072,-3760.78,-5.6217,-2392.35,0,9.18448,3916.74,2.04,12700.11,,False
15.33,-5.778,-4514.19,0.6962,-14.818,-5499.6,4.7569,-1.53468,-4.6463,0,-1722.56,10.043,-3878.49,-3.90222,341.58,0,11.434,3842.46,0.04,13081.11,12.38,False
13.2723,-4.0347,10108.11,1.102,-12.8438,-5327.92,5.0667,-4.389,-5.968,1,-2386.56,2.891,-2761.09,-4.6374,-2076.72,0,9.2546,1736,2.04,12459.99,12.23,False
13.9542,-5.873,7598.31,4.076,-13.082,-5427.44,5.1426,-5.34,-4.7631,1,-2064.37,-6.24,-3825.61,-4.4862,-2240.43,0,9.4164,2366.8,2.04,12579.63,,False
21.318,-5.116,9924.21,2.804,-34.62,-5414.84,4.4281,-1.8426,-5.4541,1,-2096.56,-3.103,-3741.25,-3.81468,-1081.62,1,11.606,3522.8,0.04,12442.38,12.8,False
14.8665,-4.2303,9350.31,3.332,-35.12,-4843.46,5.0583,-13.254,-5.197,1,-1948.12,8.286,-3462.39,-6.5283,-2386.905,0,9.5912,4414.8,2.04,13148.61,17.05,True
16.728,-4.587,11999.01,6.56,-15.356,-5440.56,5.426,-5.793,-4.9089,0,-2020.84,-0.156,-3556.19,-4.443,-2466.27,0,9.6836,3252.2,2.04,12405.63,,True
13.4166,-5.122,11027.91,1.4722,-26.666,-5502.54,4.4165,-2.928,-5.2207,1,-2003.7,2.852,-4199.69,-4.6587,-2466.63,0,11.262,3517.4,2.04,9259.41,12.66,False
15.717,-4.2206,6003.81,0.701,-18.526,-5463.848,4.7923,-5.406,-4.7974,1,-2079.82,7.456,-3701.07,-3.7822008,-2205.69,0,12.076,3707.32,0.04,13102.11,,True
15.732,-4.1813,10797.24,2.324,-13.6896,-5402.1,4.38817,-4.2366,-4.8912,0,-2145.36,7.975,-3928.99,-4.3554,-2294.25,0,12.502,3372,2.04,12375.93,14.41,False
14.4753,-3.60923,10526.1,4.928,-13.9422,-5425.2,5.0393,-4.35,-7.845,1,-2037.462,8.918,-3447.29,-5.0178,-2360.91,1,9.3132,1498,0.04,13097.91,15.67,True
12.4269,-5.008,10592.85,0.9314,-12.57198,-5762.46,5.1779,-1.6146,-5.796,0,-1790.66,10.302,-4404.49,-9.822,-2839.92,0,9.3276,3360.8,0.04,12423.63,,False
12.6414,-3.6585,7518.81,0.33334,-21.24,-5445.4,5.324,-7.113,-4.66738,1,-3812.76,4.41,-2604.59,-3.8271,-2314.02,1,10.6818,2936.6,2.04,13205.91,,True
18.024,-3.7424,5229.81,1.819,-47.2,-5743.86,5.0223,-7.23,-4.64749,0,-1875.56,1.639,-3762.34,-5.3088,-2400.195,1,12.508,3785.44,2.04,12772.11,14.69,True
16.224,-4.2787,9537.81,0.363,-21.33,-5458.982,4.7931,-1.7238,-5.3841,1,-2859.66,7.658,-3781.23,-4.2192,-550.92,1,12.016,3487,2.04,13422.51,,True
13.005,-3.6369,6201.81,0.9092,-23.386,-5434.4,5.722,-1.9095,-4.63816,0,-2561.36,5.1089,-2265.59,-4.03941,-930.42,0,11.406,3506.6,2.04,12351.06,13.87,True
15.165,-3.9986,10834.68,4.85,-12.7084,-5484.934,4.9447,-2.8173,-5.805,0,-2040.08,6.1103,-3911.59,-3.81522,-2420.697,0,10.6672,3311.8,0.04,12014.31,13.96,False
17.481,-3.8962,8691.21,0.4982,-32.76,-5403.82,4.505,-4.848,-4.9298,1,-1541.66,4.837,-3590.29,-8.307,-2320.71,1,11.96,3801.36,2.04,14676.21,,True
12.3225,-3.59388,11237.91,3.274,-80.18,-5438.58,5.3082,-3.5934,-4.886,0,-1972.01,-1.531,-1609.59,-3.7800967,-2566.83,1,10.223,3433.4,0.04,12980.01,15.68,True
12.7704,-4.881,10871.91,0.4692,-29.722,-5488.124,4.932,-5.886,-5.5348,1,-1296.66,4.072,-4104.79,-3.87861,-2495.52,1,12.764,3684.56,2.04,12497.34,15.13,False
19.587,-3.6934,7017.81,0.5528,-36.62,-5463.394,6.263,-4.0458,-4.64249,1,-1939.3,6.3541,-3770.71,-5.2053,-2362.98,1,10.2378,3159.2,0.04,12767.46,,True
19.191,-5.233,9808.11,1.1342,-64.64,-5412.98,5.0028,-5.505,-5.61,0,-2238.46,4.6,-3622.69,-3.89226,-2187.93,1,11.414,3610.14,0.04,12647.67,14.43,True
15.624,-4.2332,8653.41,1.6486,-18.812,-5463.662,5.402,-7.041,-4.8657,1,-1846.96,5.83444,-3914.19,-7.062,-2389.071,0,10.8314,3790.2,2.04,12744.15,15.19,True
